Date,Open,High,Low,Close,Volume
1/2/2004,0.196417004,0.199083,0.192332998,0.192332998,436416000
1/5/2004,0.195250005,0.199917004,0.193499997,0.198583007,575292000
1/6/2004,0.197999999,0.209417,0.197082996,0.206667006,1093344000
1/7/2004,0.204333007,0.2095,0.202916995,0.208499998,673032000
1/8/2004,0.211082995,0.212082997,0.207249999,0.209250003,433752000
1/9/2004,0.207833007,0.214833006,0.206166998,0.212249994,766584000
1/12/2004,0.213,0.215333,0.210999995,0.214667007,541980000
1/13/2004,0.213582993,0.215666994,0.201333001,0.203583002,541980000
1/14/2004,0.204583004,0.207499996,0.200167,0.202083007,541980000
1/15/2004,0.200582996,0.204082996,0.196999997,0.202417001,541980000
1/16/2004,0.204500005,0.207249999,0.202583,0.205500007,541980000
1/20/2004,0.208000004,0.211583003,0.205667004,0.211250007,541980000
1/21/2004,0.2095,0.210333005,0.201167002,0.201499999,541980000
1/22/2004,0.202583,0.205833003,0.194417,0.196833,541980000
1/23/2004,0.195832998,0.199750006,0.192000002,0.192416996,541980000
1/26/2004,0.193666995,0.200832993,0.192166999,0.200000003,541980000
1/27/2004,0.195999995,0.199166998,0.187083006,0.188583001,541980000
1/28/2004,0.191,0.194000006,0.187083006,0.188082993,541980000
1/29/2004,0.188666999,0.189583004,0.176249996,0.182583004,541980000
1/30/2004,0.182166994,0.189583004,0.181082994,0.185416996,541980000
2/2/2004,0.186917007,0.192083001,0.185000002,0.188417003,541980000
2/3/2004,0.187916994,0.191166997,0.185249999,0.187749997,541980000
2/4/2004,0.185083002,0.186582997,0.182417005,0.182667002,541980000
2/5/2004,0.183667004,0.1875,0.182500005,0.185416996,541980000
2/6/2004,0.187832996,0.192332998,0.186832994,0.189667001,541980000
2/9/2004,0.191082999,0.194167003,0.188250005,0.188333005,541980000
2/10/2004,0.188916996,0.195417002,0.188832998,0.195250005,541980000
2/11/2004,0.197750002,0.202749997,0.197082996,0.202083007,541980000
2/12/2004,0.201000005,0.202083007,0.192917004,0.195999995,541980000
2/13/2004,0.190833002,0.199083,0.189166993,0.194167003,541980000
2/17/2004,0.194916993,0.196916997,0.192249998,0.196333006,541980000
2/18/2004,0.196916997,0.197916999,0.194999993,0.196333006,541980000
2/19/2004,0.198750004,0.202250004,0.195832998,0.196250007,541980000
2/20/2004,0.195916995,0.201666996,0.194832996,0.201167002,541980000
2/23/2004,0.200832993,0.201167002,0.191499993,0.194167003,541980000
2/24/2004,0.190833002,0.19325,0.184332997,0.186416999,541980000
2/25/2004,0.187582999,0.191082999,0.185499996,0.1875,541980000
2/26/2004,0.190249994,0.190583006,0.186416999,0.188749999,541980000
2/27/2004,0.189166993,0.189333007,0.182583004,0.185416996,541980000
3/1/2004,0.184917003,0.188500002,0.184667006,0.188167006,541980000
3/2/2004,0.188417003,0.189750001,0.183917001,0.184667006,541980000
3/3/2004,0.184166998,0.184166998,0.179250002,0.182249993,541980000
3/4/2004,0.184083,0.186582997,0.182583004,0.186250001,541980000
3/5/2004,0.182082996,0.189166993,0.181417003,0.184917003,541980000
3/8/2004,0.185000002,0.1875,0.177083001,0.178499997,541980000
3/9/2004,0.180000007,0.180167004,0.174250007,0.177249998,541980000
3/10/2004,0.178416997,0.180333003,0.173417002,0.174667001,541980000
3/11/2004,0.172333002,0.178499997,0.172333002,0.173333004,541980000
3/12/2004,0.175667003,0.179167002,0.173749998,0.177000001,541980000
3/15/2004,0.175917,0.176667005,0.171917006,0.172999993,541980000
3/16/2004,0.175166994,0.181250006,0.173999995,0.180417001,541980000
3/17/2004,0.183332995,0.186582997,0.182583004,0.184833005,541980000
3/18/2004,0.183833003,0.189166993,0.183332995,0.186917007,541980000
3/19/2004,0.185917005,0.187832996,0.183667004,0.184750006,541980000
3/22/2004,0.181916997,0.184750006,0.179167002,0.183332995,541980000
3/23/2004,0.185833007,0.187832996,0.181999996,0.184083,541980000
3/24/2004,0.183750004,0.195417002,0.183332995,0.192332998,541980000
3/25/2004,0.194499999,0.204500005,0.194167003,0.203500003,541980000
3/26/2004,0.202916995,0.206083,0.200167,0.202916995,541980000
3/29/2004,0.205833003,0.214416996,0.205417007,0.211667001,541980000
3/30/2004,0.210250005,0.218999997,0.210082993,0.217999995,541980000
3/31/2004,0.219082996,0.222332999,0.217916995,0.219999999,541980000
4/1/2004,0.220249996,0.224749997,0.210583001,0.216083005,541980000
4/2/2004,0.220833004,0.22225,0.214166999,0.219166994,541980000
4/5/2004,0.217999995,0.227917001,0.217999995,0.226999998,541980000
4/6/2004,0.222499996,0.224083006,0.216666996,0.217832997,541980000
4/7/2004,0.219500005,0.219583005,0.212833002,0.216666996,541980000
4/8/2004,0.221499994,0.224999994,0.219833001,0.222832993,541980000
4/12/2004,0.224583,0.225583002,0.217333004,0.218667001,541980000
4/13/2004,0.220667005,0.220833004,0.212500006,0.213582993,541980000
4/14/2004,0.212500006,0.218667001,0.210082993,0.214667007,541980000
4/15/2004,0.211750001,0.212667003,0.202500001,0.203417003,541980000
4/16/2004,0.202583,0.202666998,0.196333006,0.19675,541980000
4/19/2004,0.196583003,0.197916999,0.193000004,0.196500003,541980000
4/20/2004,0.196999997,0.199166998,0.188082993,0.188167006,541980000
4/21/2004,0.188916996,0.194999993,0.187000006,0.188417003,541980000
4/22/2004,0.186666995,0.192667007,0.182750002,0.189500004,541980000
4/23/2004,0.191833004,0.196916997,0.191249996,0.193666995,541980000
4/26/2004,0.194083005,0.194916993,0.185582995,0.186083004,541980000
4/27/2004,0.188250005,0.19325,0.183833003,0.184499994,541980000
4/28/2004,0.184582993,0.187417001,0.182332993,0.183750004,541980000
4/29/2004,0.182667002,0.183917001,0.176249996,0.178666994,541980000
4/30/2004,0.177667007,0.178749993,0.170332998,0.171000004,541980000
5/3/2004,0.172832996,0.174583003,0.165832996,0.168833002,541980000
5/4/2004,0.171250001,0.18175,0.170833007,0.179582998,541980000
5/5/2004,0.179749995,0.182667002,0.17825,0.181082994,541980000
5/6/2004,0.179250002,0.184,0.175417006,0.182583004,541980000
5/7/2004,0.187916994,0.191416994,0.182999998,0.184,541980000
5/10/2004,0.179083005,0.180999994,0.172916993,0.176833004,541980000
5/11/2004,0.179083005,0.182916999,0.178332999,0.181167006,541980000
5/12/2004,0.180167004,0.180417001,0.172417,0.178666994,541980000
5/13/2004,0.177166998,0.182500005,0.176667005,0.179250002,541980000
5/14/2004,0.180000007,0.183166996,0.178332999,0.179250002,541980000
5/17/2004,0.176667005,0.179000005,0.173749998,0.176416993,541980000
5/18/2004,0.178000003,0.181333005,0.177332997,0.179250002,541980000
5/19/2004,0.183249995,0.185833007,0.177917004,0.178832993,541980000
5/20/2004,0.178499997,0.181500003,0.175332993,0.176249996,541980000
5/21/2004,0.178332999,0.178582996,0.174250007,0.176667005,541980000
5/24/2004,0.176332995,0.178083003,0.173999995,0.176082999,541980000
5/25/2004,0.176833004,0.184582993,0.173250005,0.183750004,541980000
5/26/2004,0.183750004,0.189999998,0.182667002,0.1875,541980000
5/27/2004,0.190583006,0.193416998,0.187832996,0.188082993,541980000
5/28/2004,0.190417007,0.196500003,0.188916996,0.195417002,541980000
6/1/2004,0.192083001,0.197249994,0.191833004,0.195250005,541980000
6/2/2004,0.200000003,0.200917006,0.193582997,0.193749994,541980000
6/3/2004,0.193832994,0.194250003,0.183833003,0.184416994,541980000
6/4/2004,0.188167006,0.188583001,0.182417005,0.182583004,541980000
6/7/2004,0.185582995,0.189082995,0.183249995,0.187000006,541980000
6/8/2004,0.185917005,0.186250001,0.180916995,0.183667004,541980000
6/9/2004,0.184750006,0.185000002,0.174500003,0.175082996,541980000
6/10/2004,0.177917004,0.17825,0.171749994,0.173333004,541980000
6/14/2004,0.172417,0.172417,0.166583002,0.167916998,541980000
